route_id,transport_mode,avg_cost,avg_cost_per_km
FR-ES,Truck,1907.5683050847454,4.9319540752698
FR-ES,Sea,2968.069433962264,5.179202080627557
NL-DE,Sea,3151.6674468085116,7.0463824559335935
NL-FR,Sea,2998.278780487805,6.954881786475074
DE-FR,Air,6458.623260869566,11.183096647948023
NL-FR,Air,6474.858799999999,9.003828332081774
DE-FR,Rail,2339.635660377358,3.6314363160965013
NL-IT,Truck,1928.9722033898306,2.9000885196222024
NL-DE,Rail,2170.405471698114,3.6173855307313314
NL-FR,Rail,2093.6698076923085,3.962660031838721
DE-FR,Sea,2703.0983783783786,4.101542645778866
NL-IT,Rail,2230.835945945945,3.916719925547132
FR-ES,Rail,2427.84868852459,4.419611271823843
NL-DE,Air,5948.412982456136,10.083117146281571
NL-DE,Truck,1869.6618181818183,4.384107032266909
DE-FR,Truck,2017.7720312499991,3.6899126713688455
NL-IT,Air,5511.517499999999,9.727276454975225
FR-ES,Air,6346.755000000001,17.4912441522009
NL-FR,Truck,1987.4695238095246,4.246943920098055
NL-IT,Sea,3052.6032692307685,7.222838435892062
