user_id,event_type,timestamp
178,page_view,2026-04-05 03:12:18
791,add_to_cart,2026-04-05 05:14:18
369,page_view,2026-04-05 09:05:18
239,add_to_cart,2026-04-04 20:44:18
61,page_view,2026-04-05 06:05:18
992,page_view,2026-04-04 18:08:18
622,page_view,2026-04-05 03:02:18
903,page_view,2026-04-05 00:51:18
437,checkout,2026-04-05 11:02:18
480,checkout,2026-04-05 03:32:18
984,page_view,2026-04-05 11:50:18
204,page_view,2026-04-05 10:58:18
769,page_view,2026-04-05 08:36:18
70,page_view,2026-04-05 07:22:18
675,checkout,2026-04-05 03:42:18
120,checkout,2026-04-05 02:28:18
217,checkout,2026-04-05 09:55:18
104,add_to_cart,2026-04-04 20:08:18
264,page_view,2026-04-04 21:24:18
893,page_view,2026-04-05 06:02:18
27,purchase,2026-04-05 12:31:18
957,checkout,2026-04-05 09:30:18
573,checkout,2026-04-05 11:25:18
859,page_view,2026-04-04 17:46:18
253,page_view,2026-04-05 04:07:18
459,page_view,2026-04-05 09:11:18
950,add_to_cart,2026-04-05 09:02:18
304,page_view,2026-04-05 07:32:18
166,page_view,2026-04-05 02:10:18
114,checkout,2026-04-04 18:30:18
928,page_view,2026-04-04 20:31:18
442,add_to_cart,2026-04-04 20:58:18
709,checkout,2026-04-05 15:12:18
339,add_to_cart,2026-04-05 11:07:18
19,page_view,2026-04-05 16:16:18
573,page_view,2026-04-04 19:50:18
48,add_to_cart,2026-04-05 06:39:18
622,page_view,2026-04-05 08:30:18
709,add_to_cart,2026-04-05 02:29:18
563,page_view,2026-04-04 22:33:18
170,checkout,2026-04-05 00:12:18
715,purchase,2026-04-05 14:21:18
914,page_view,2026-04-05 05:56:18
722,page_view,2026-04-04 23:11:18
277,add_to_cart,2026-04-04 18:43:18
425,add_to_cart,2026-04-05 03:13:18
182,page_view,2026-04-05 03:37:18
64,checkout,2026-04-05 14:17:18
655,page_view,2026-04-05 10:44:18
726,add_to_cart,2026-04-05 05:29:18
93,purchase,2026-04-04 17:42:18
434,checkout,2026-04-05 11:15:18
59,add_to_cart,2026-04-05 04:30:18
296,checkout,2026-04-04 20:44:18
166,add_to_cart,2026-04-04 21:22:18
90,page_view,2026-04-05 01:17:18
834,add_to_cart,2026-04-05 05:08:18
834,purchase,2026-04-05 02:54:18
936,add_to_cart,2026-04-05 06:30:18
8,page_view,2026-04-05 01:04:18
926,purchase,2026-04-05 11:50:18
628,page_view,2026-04-05 01:48:18
830,add_to_cart,2026-04-05 01:14:18
45,purchase,2026-04-05 01:38:18
944,page_view,2026-04-04 20:51:18
88,checkout,2026-04-04 23:13:18
931,page_view,2026-04-04 20:32:18
465,add_to_cart,2026-04-05 06:59:18
825,page_view,2026-04-05 07:23:18
885,page_view,2026-04-05 12:54:18
380,page_view,2026-04-04 19:58:18
945,add_to_cart,2026-04-05 04:00:18
350,page_view,2026-04-05 09:16:18
523,checkout,2026-04-04 23:15:18
364,page_view,2026-04-05 04:47:18
276,page_view,2026-04-05 05:22:18
906,page_view,2026-04-05 04:27:18
485,add_to_cart,2026-04-05 07:46:18
296,page_view,2026-04-05 11:30:18
907,page_view,2026-04-05 02:26:18
93,page_view,2026-04-04 23:26:18
650,page_view,2026-04-04 23:37:18
420,add_to_cart,2026-04-05 16:54:18
101,page_view,2026-04-04 20:43:18
338,page_view,2026-04-05 11:07:18
856,page_view,2026-04-05 04:20:18
642,checkout,2026-04-05 17:19:18
988,add_to_cart,2026-04-04 21:16:18
453,page_view,2026-04-04 20:00:18
424,page_view,2026-04-04 18:31:18
940,page_view,2026-04-04 18:43:18
145,page_view,2026-04-05 05:15:18
991,page_view,2026-04-05 15:44:18
181,page_view,2026-04-05 04:33:18
790,checkout,2026-04-05 06:02:18
530,add_to_cart,2026-04-05 01:54:18
913,checkout,2026-04-04 19:55:18
975,add_to_cart,2026-04-05 06:11:18
525,purchase,2026-04-05 10:57:18
40,page_view,2026-04-05 01:09:18
82,page_view,2026-04-05 14:09:18
447,add_to_cart,2026-04-04 23:48:18
211,add_to_cart,2026-04-05 04:49:18
227,checkout,2026-04-05 02:18:18
439,add_to_cart,2026-04-05 14:23:18
345,add_to_cart,2026-04-05 09:22:18
909,checkout,2026-04-04 20:37:18
390,add_to_cart,2026-04-05 00:33:18
188,page_view,2026-04-05 12:20:18
132,purchase,2026-04-04 23:14:18
793,checkout,2026-04-04 21:19:18
486,page_view,2026-04-05 15:30:18
220,page_view,2026-04-04 17:34:18
643,page_view,2026-04-05 05:12:18
720,page_view,2026-04-05 00:29:18
422,purchase,2026-04-05 16:18:18
830,page_view,2026-04-04 21:00:18
544,checkout,2026-04-05 11:03:18
