route_id,transport_mode,cost_eur,distance_km,shipment_date,cost_per_km,anomaly_flag,anomaly_reason,threshold
DE-FR,Air,7808.39,1819,2026-03-12,36.31809302325581,1,HIGH_COST_PER_KM,27.094174943430694
DE-FR,Air,7808.39,1819,2026-03-12,36.31809302325581,1,HIGH_COST_PER_KM,27.094174943430694
DE-FR,Air,7808.39,1819,2026-03-12,36.31809302325581,1,HIGH_COST_PER_KM,27.094174943430694
DE-FR,Air,5871.74,600,2026-03-29,34.138023255813955,1,HIGH_COST_PER_KM,27.094174943430694
DE-FR,Air,5871.74,600,2026-03-29,34.138023255813955,1,HIGH_COST_PER_KM,27.094174943430694
FR-ES,Air,7175.84,1593,2026-03-07,50.06119718309859,1,HIGH_COST_PER_KM,27.094174943430694
FR-ES,Air,7175.84,1593,2026-03-07,50.06119718309859,1,HIGH_COST_PER_KM,27.094174943430694
FR-ES,Air,7175.84,1593,2026-03-07,50.06119718309859,1,HIGH_COST_PER_KM,27.094174943430694
FR-ES,Air,7175.84,1593,2026-03-07,50.06119718309859,1,HIGH_COST_PER_KM,27.094174943430694
FR-ES,Air,5336.03,1088,2026-03-15,29.810223463687148,1,HIGH_COST_PER_KM,27.094174943430694
FR-ES,Air,5336.03,1088,2026-03-15,29.810223463687148,1,HIGH_COST_PER_KM,27.094174943430694
FR-ES,Air,7656.39,1366,2026-03-24,32.07017543859649,1,HIGH_COST_PER_KM,27.094174943430694
FR-ES,Air,7656.39,1366,2026-03-24,32.07017543859649,1,HIGH_COST_PER_KM,27.094174943430694
FR-ES,Air,7656.39,1366,2026-03-24,32.07017543859649,1,HIGH_COST_PER_KM,27.094174943430694
FR-ES,Air,7445.67,1539,2026-03-25,35.57551351351351,1,HIGH_COST_PER_KM,27.094174943430694
FR-ES,Air,7445.67,1539,2026-03-25,35.57551351351351,1,HIGH_COST_PER_KM,27.094174943430694
FR-ES,Air,7445.67,1539,2026-03-25,35.57551351351351,1,HIGH_COST_PER_KM,27.094174943430694
FR-ES,Air,7445.67,1539,2026-03-25,35.57551351351351,1,HIGH_COST_PER_KM,27.094174943430694
NL-DE,Air,6438.38,674,2026-03-24,37.541111111111114,1,HIGH_COST_PER_KM,27.094174943430694
NL-DE,Air,6438.38,674,2026-03-24,37.541111111111114,1,HIGH_COST_PER_KM,27.094174943430694
NL-DE,Sea,3274.56,1972,2026-04-03,27.640677966101695,1,HIGH_COST_PER_KM,27.094174943430694
NL-DE,Sea,3274.56,1972,2026-04-03,27.640677966101695,1,HIGH_COST_PER_KM,27.094174943430694
NL-DE,Sea,3274.56,1972,2026-04-03,27.640677966101695,1,HIGH_COST_PER_KM,27.094174943430694
NL-DE,Sea,3274.56,1972,2026-04-03,27.640677966101695,1,HIGH_COST_PER_KM,27.094174943430694
NL-FR,Air,7157.39,120,2026-03-27,59.64491666666667,1,HIGH_COST_PER_KM,27.094174943430694
NL-IT,Air,6732.81,1999,2026-03-14,29.14636363636364,1,HIGH_COST_PER_KM,27.094174943430694
NL-IT,Air,6732.81,1999,2026-03-14,29.14636363636364,1,HIGH_COST_PER_KM,27.094174943430694
NL-IT,Air,6631.29,1608,2026-03-18,34.18190721649484,1,HIGH_COST_PER_KM,27.094174943430694
NL-IT,Air,6631.29,1608,2026-03-18,34.18190721649484,1,HIGH_COST_PER_KM,27.094174943430694
